Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
2,1525,6.666666667,10.61818182,73.39714277
2,770,8.322222222,23.40909091,70.64330165
3,137,7.488888889,28.82727273,58.15681534
2.5,146,8.066666667,25.98181818,52.34901975
2.666666667,107,7.688888889,14.75454545,60.46248786
2.5,439,7.411111111,8.454545455,66.87123075
3,874,7.066666667,24.68181818,64.0740554
2,827,6.733333333,8.772727273,70.1897669
2.333333333,242,6.244444444,8.436363636,66.52459239
2,1336,5.822222222,6.354545455,80.49670827
2.333333333,469,7.144444444,14.59090909,65.18561553
2.333333333,1535,6.977777778,8.218181818,70.21636034
1.5,1160,6.722222222,7.972727273,80.60031611
2.5,992,6.844444444,15.18181818,63.81592773
3,694,8.588888889,20.31818182,57.09051167
1.666666667,943,5.933333333,11.40909091,76.44765172
3,680,6.933333333,14,68.20344357
2.5,819,6.388888889,17.95454545,70.61669944
2.25,1440,7.733333333,32.68181818,34.1361055
1.5,1822,4.466666667,7.690909091,82.31956525
2.8,649,6.511111111,30.37272727,59.0536846
2,1854,5.9,8.654545455,85.39942576
2.75,1186,7.333333333,10.06363636,75.72559394
2.333333333,1210,7.077777778,19.85454545,63.95892527
2,1400,5.6,6.954545455,83.59177529
2,662,7.311111111,12.96363636,70.92694888
3,1131,7.922222222,22.45454545,64.06521972
2.333333333,767,9.177777778,28.00909091,57.74055223
2.5,1118,8.244444444,16.89090909,69.08711019
2.333333333,992,10.07777778,24.09090909,57.74609546
2.5,1305,5.677777778,8.145454545,85.66226123
3,1169,6.388888889,13.96363636,74.31378561
2,1590,6.855555556,12.57272727,76.72985633
2,1670,7.066666667,11.09090909,73.87924608
2,679,7.166666667,14.22727273,71.24558114
2.5,1135,6.477777778,14.7,70.97110421
2,1059,6.811111111,8.336363636,77.02590784
1.5,978,6.255555556,8.181818182,85.03184987
2.333333333,847,6.711111111,24.83636364,69.76230922
1,1688,5.333333333,9.2,81.06930799
2,1497,6.744444444,15.03636364,77.02843901
2,1626,7.188888889,12.77272727,81.34073434
2.75,723,8.866666667,27.10909091,55.14700108
1.5,1148,5.844444444,12.33636364,75.76581
2,1437,6.455555556,7.045454545,80.51347895
1.5,1602,7.188888889,7.181818182,77.44561182
2,1093,6.077777778,10,76.54271632
2,855,6.333333333,7.772727273,76.83385405
1.5,1163,7.511111111,10.57272727,79.89494331
2,1635,6.955555556,12.05454545,76.82011883
2,948,8.255555556,20.08181818,72.56541593
2,1099,7.055555556,13.84545455,73.95062742
2.333333333,2625,6.755555556,9.772727273,81.39821977
2,765,6.244444444,20.20909091,71.49990948
2,1210,5.944444444,8.963636364,77.50983153
2,654,4.5,12.56363636,77.59291867
1.5,1469,5.777777778,8.081818182,73.14802797
2,891,5.177777778,9.390909091,76.40494801
2.333333333,1045,7.255555556,13.22727273,62.66992805
2.333333333,1232,7.277777778,9.836363636,66.27457123
